fecha,precio_compra,precio_venta
2024-08-01,13.5,13.4
2024-08-02,13.4,13.25
2024-08-03,13.1,13.05
2024-08-04,13.13,13.06
2024-08-05,12.95,12.91
2024-08-06,12.83,12.76
2024-08-07,12.54,12.49
2024-08-08,11.53,11.45
2024-08-09,10.81,10.75
2024-08-10,10.97,10.94
2024-08-11,10.93,10.88
2024-08-12,10.85,10.8
2024-08-13,10.95,11.97
2024-08-14,10.95,10.92
2024-08-15,10.93,10.89
2024-08-16,10.92,10.89
2024-08-17,10.97,10.92
2024-08-18,11.07,11.0
2024-08-19,11.02,10.98
2024-08-20,11.02,10.97
2024-08-21,10.99,10.94
2024-08-22,10.93,10.89
2024-08-23,10.84,10.8
2024-08-24,10.77,10.71
2024-08-25,10.81,10.75
2024-08-26,10.8,10.76
2024-08-27,10.83,10.79
2024-08-28,10.86,10.83
2024-08-29,10.89,11.1
2024-08-30,10.85,10.9
2024-08-31,10.77,10.73
2024-09-01,10.75,10.69
2024-09-02,10.75,10.93
2024-09-03,10.75,10.94
2024-09-04,10.73,10.67
2024-09-05,10.5,10.48
2024-09-06,10.46,10.6
2024-09-07,10.09,10.34
2024-09-08,10.27,10.86
2024-09-09,10.26,10.96
2024-09-10,10.22,11.15
2024-09-11,10.48,11.45
2024-09-12,10.64,11.79
2024-09-13,10.68,11.85
2024-09-14,10.43,11.53
2024-09-15,10.45,11.58
2024-09-16,10.45,11.32
2024-09-17,10.5,11.14
2024-09-18,10.42,11.13
2024-09-19,10.42,11.06
2024-09-20,10.38,11.05
2024-09-21,10.38,11.01
2024-09-22,10.41,11.03
2024-09-23,10.44,10.66
2024-09-24,10.47,10.68
2024-09-25,10.48,10.7
2024-09-26,10.59,10.77
2024-09-27,10.58,10.78
2024-09-28,10.48,10.76
2024-09-29,10.55,10.77
2024-09-30,10.51,10.92
2024-10-01,10.46,10.69
2024-10-02,10.43,10.72
2024-10-03,10.47,10.74
2024-10-04,10.44,10.71
2024-10-05,10.46,10.64
2024-10-06,10.47,10.68
2024-10-07,10.46,10.61
2024-10-08,10.52,10.68
2024-10-09,10.56,10.71
2024-10-09,10.56,10.71
2024-10-10,10.57,10.72
2024-10-11,10.59,10.72
2024-10-12,10.53,10.66
2024-10-13,10.56,10.69
2024-10-14,10.57,10.7
2024-10-15,10.54,10.71
2024-10-16,10.59,10.72
2024-10-17,10.62,10.73
2024-10-18,10.62,10.72
2024-10-19,10.59,10.71
2024-10-20,10.61,10.57
2024-10-21,10.65,10.61
2024-10-22,10.65,10.61
2024-10-23,10.5,10.6
2024-10-23,10.5,10.6
2024-10-24,10.56,10.62
2024-10-25,10.56,10.62
2024-10-26,10.54,10.6
2024-10-27,10.54,10.59
2024-10-28,10.54,10.6
2024-10-29,10.55,10.6
2024-10-30,10.55,10.62
2024-10-31,10.54,10.59
2024-11-01,10.55,10.57
2024-11-02,10.58,10.54
2024-11-03,10.58,10.54
2024-11-04,10.56,10.52
2024-11-05,10.56,10.52
2024-11-06,10.54,10.53
2024-11-07,10.51,10.5
2024-11-08,10.49,10.49
2024-11-09,10.49,10.47
2024-11-10,10.5,10.48
2024-11-11,10.52,10.51
2024-11-12,10.51,10.5
2024-11-13,10.55,10.56
2024-11-14,10.59,10.58
2024-11-15,10.64,10.63
2024-11-16,10.63,10.61
2024-11-17,10.63,10.61
2024-11-18,10.68,10.69
2024-11-19,10.85,10.84
2024-11-20,10.99,11.13
2024-11-21,11.27,11.44
2024-11-22,11.81,12.22
2024-11-23,11.5,11.76
2024-11-24,11.76,11.95
2024-11-24,11.76,11.95
2024-11-25,11.53,11.7
2024-11-26,11.19,11.46
2024-11-27,11.07,11.1
2024-11-28,11.06,11.08
2024-11-29,11.08,11.09
2024-11-30,10.97,11.03
2024-12-01,10.96,11.01
2024-12-02,10.94,11.0
2024-12-03,10.94,11.1
2024-12-04,10.98,11.07
2024-12-05,10.99,11.11
2024-12-06,11.0,11.11
2024-12-07,11.03,11.05
2024-12-08,11.04,11.05
2024-12-09,10.96,11.06
2024-12-10,10.99,11.06
2024-12-11,10.96,11.05
2024-12-12,10.97,11.05
2024-12-13,10.98,11.06
2024-12-14,10.97,11.05
2024-12-15,10.97,11.05
2024-12-16,10.96,11.04
2024-12-17,10.97,11.05
2024-12-18,11.07,11.18
2024-12-19,11.18,11.22
2024-12-20,11.18,11.21
2024-12-21,11.09,11.1
2024-12-22,11.06,11.34
2024-12-23,11.07,11.35
2024-12-24,11.03,11.31
2024-12-25,11.04,11.33
2024-12-26,11.03,11.32
2024-12-26,11.03,11.32
2024-12-27,11.05,11.09
2024-12-27,11.05,11.09
2024-12-28,11.04,11.06
2024-12-28,11.04,11.06
2024-12-29,11.05,11.07
2024-12-29,11.05,11.07
2024-12-30,11.04,11.07
2024-12-30,11.04,11.07
2024-12-31,11.04,11.07
2024-12-31,11.04,11.07
2025-01-01,11.04,11.07
2025-01-01,11.04,11.07
2025-01-02,10.63,11.08
2025-01-02,10.63,11.08
2025-01-03,11.04,11.07
2025-01-03,11.04,11.07
2025-01-04,11.04,11.07
2025-01-04,11.04,11.07
2025-01-05,11.04,11.06
2025-01-05,11.04,11.06
2025-01-06,11.03,11.05
2025-01-07,11.13,11.09
2025-01-08,11.14,11.45
2025-01-09,10.76,11.24
2025-01-10,11.11,11.14
2025-01-11,11.11,11.13
2025-01-12,11.11,11.14
2025-01-12,11.11,11.14
2025-01-13,11.16,11.2
2025-01-14,11.16,11.21
2025-01-14,11.16,11.21
2025-01-15,11.17,11.23
2025-01-16,11.22,11.28
2025-01-16,11.22,11.28
2025-01-17,11.24,11.29
2025-01-18,11.21,11.27
2025-01-19,11.31,11.35
2025-01-20,11.32,11.29
2025-01-21,11.39,11.35
2025-01-21,11.39,11.35
2025-01-22,11.29,11.24
2025-01-23,11.34,11.3
2025-01-23,11.34,11.3
2025-01-24,11.3,11.28
2025-01-25,11.31,11.27
2025-01-25,11.31,11.27
2025-01-26,11.31,11.27
2025-01-27,11.3,11.27
2025-01-28,11.29,11.26
2025-01-28,11.29,11.26
2025-01-29,11.28,11.26
2025-01-29,11.28,11.26
2025-01-30,11.25,11.21
2025-01-31,11.24,11.21
2025-01-31,11.24,11.21
2025-02-01,11.17,11.13
2025-02-02,11.18,11.17
2025-02-03,11.18,11.14
2025-02-03,11.18,11.14
2025-02-04,11.18,11.14
2025-02-04,11.18,11.14
2025-02-05,11.2,11.17
2025-02-06,11.2,11.17
2025-02-06,11.2,11.17
2025-02-07,11.2,11.16
2025-02-08,11.18,11.14
2025-02-08,11.18,11.14
2025-02-09,11.19,11.16
2025-02-10,11.19,11.15
2025-02-10,11.19,11.15
2025-02-11,11.19,11.16
2025-02-11,11.19,11.16
2025-02-12,11.21,11.19
2025-02-13,11.24,11.2
2025-02-13,11.24,11.2
2025-02-14,11.2,11.16
2025-02-15,11.2,11.16
2025-02-16,11.2,11.17
2025-02-17,11.2,11.17
2025-02-18,11.22,11.19
2025-02-18,11.22,11.19
2025-02-19,11.23,11.21
2025-02-19,11.23,11.21
2025-02-20,11.27,11.24
2025-02-20,11.27,11.24
2025-02-21,11.3,11.27
2025-02-22,11.25,11.22
2025-02-22,11.25,11.22
2025-02-23,11.26,11.23
2025-02-24,11.26,11.23
2025-02-25,11.31,11.29
2025-02-25,11.31,11.29
2025-02-26,11.32,11.31
2025-02-26,11.32,11.31
2025-02-27,11.37,11.33
2025-02-28,11.36,11.32
2025-02-28,11.36,11.32
2025-03-01,11.33,11.3
2025-03-01,11.33,11.3
2025-03-02,11.31,11.28
2025-03-03,11.28,11.25
2025-03-03,11.28,11.25
2025-03-04,11.28,11.25
2025-03-05,11.28,11.26
2025-03-06,11.3,11.26
2025-03-07,11.28,11.26
2025-03-08,11.27,11.23
2025-03-09,11.27,11.23
2025-03-10,11.34,11.29
2025-03-10,11.34,11.29
2025-03-11,11.01,11.56
2025-03-11,11.01,11.56
2025-03-12,11.5,11.96
2025-03-13,12.2,12.16
2025-03-14,11.82,11.8
2025-03-15,11.72,11.75
2025-03-16,11.79,11.76
2025-03-17,11.79,11.77
2025-03-18,11.85,11.9
2025-03-18,11.85,11.9
2025-03-19,11.93,11.96
2025-03-20,12.0,12.01
2025-03-21,12.04,12.05
2025-03-22,12.0,11.97
2025-03-23,12.03,12.0
2025-03-24,12.05,12.01
2025-03-25,12.16,12.12
2025-03-26,12.34,12.3
2025-03-26,12.34,12.3
2025-03-27,12.41,12.36
2025-03-28,12.4,12.38
2025-03-28,12.4,12.38
2025-03-29,12.39,12.35
2025-03-30,12.39,12.35
2025-03-31,12.41,12.38
2025-03-31,12.41,12.38
2025-04-01,12.45,12.44
2025-04-02,12.65,12.62
2025-04-03,12.84,12.81
2025-04-04,12.87,12.85
2025-04-05,12.86,12.83
2025-04-06,12.87,12.84
2025-04-06,12.87,12.84
2025-04-07,12.94,12.91
2025-04-08,13.09,13.05
2025-04-08,13.09,13.05
2025-04-09,13.38,13.33
2025-04-10,13.44,13.5
2025-04-11,13.44,13.45
2025-04-12,13.28,13.29
2025-04-13,13.42,13.38
2025-04-13,13.42,13.38
2025-04-14,13.43,13.39
2025-04-14,13.43,13.39
2025-04-15,13.44,13.41
2025-04-16,13.46,13.42
2025-04-17,13.55,13.52
2025-04-18,13.51,13.47
2025-04-19,13.46,13.43
2025-04-19,13.46,13.43
2025-04-20,13.52,13.5
2025-04-21,13.5,13.49
2025-04-22,13.53,13.52
2025-04-23,13.63,13.57
2025-04-23,13.63,13.57
2025-04-24,14.36,13.97
2025-04-24,14.36,13.97
2025-04-25,14.13,14.1
2025-04-26,14.23,14.17
2025-04-27,14.49,14.49
2025-04-28,14.73,14.7
2025-04-29,15.21,15.16
2025-04-30,15.23,15.2
2025-05-01,15.27,15.2
2025-05-01,15.27,15.2
2025-05-02,15.22,15.17
2025-05-03,15.17,15.82
2025-05-04,15.2,15.16
2025-05-04,15.2,15.16
2025-05-05,15.19,15.14
2025-05-06,15.25,15.21
2025-05-07,15.29,15.29
2025-05-07,15.29,15.29
2025-05-07,15.29,15.29
2025-05-08,15.47,15.42
2025-05-09,15.45,15.42
2025-05-09,15.45,15.42
2025-05-10,15.46,15.41
2025-05-11,15.45,15.41
2025-05-12,15.59,15.56
2025-05-13,15.97,15.94
2025-05-14,17.09,17.11
2025-05-15,17.74,17.81
2025-05-16,17.76,17.69
2025-05-17,17.44,17.44
2025-05-18,17.79,17.72
2025-05-19,17.54,17.54
2025-05-20,17.45,17.47
2025-05-20,17.45,17.47
2025-05-21,17.46,17.48
2025-05-22,17.45,17.46
2025-05-23,17.19,17.2
2025-05-24,16.55,17.02
2025-05-25,16.49,16.74
2025-05-26,16.37,16.48
2025-05-26,16.37,16.48
2025-05-26,16.37,16.48
2025-05-27,16.31,16.43
2025-05-28,16.4,16.53
2025-05-29,16.57,16.66
2025-05-30,16.43,16.44
2025-05-31,16.37,16.33
2025-05-31,16.37,16.33
2025-06-01,16.39,16.34
2025-06-02,16.34,16.3
2025-06-03,16.34,16.3
2025-06-04,16.35,16.34
2025-06-05,16.37,16.34
2025-06-06,16.36,16.33
2025-06-06,16.36,16.33
